Tipo aloxamento,Ano,Establecementos,,,
Vivendas turisticas,2013,NA,GALICIA,,
Vivendas turisticas,2017,200,GALICIA,,
Vivendas turisticas,2018,236,GALICIA,,
Vivendas turisticas,2019,234,GALICIA,,
Vivendas turisticas,2020,226,GALICIA,,
Vivendas turisticas,2021,222,GALICIA,,
Vivendas turisticas,2022,223,GALICIA,,
Vivendas de uso turistico,2003,-0,GALICIA,,
Vivendas de uso turistico,2004,-0,GALICIA,,
Vivendas de uso turistico,2005,-0,GALICIA,,
Vivendas de uso turistico,2006,-0,GALICIA,,
Vivendas de uso turistico,2007,-0,GALICIA,,
Vivendas de uso turistico,2008,-0,GALICIA,,
Vivendas de uso turistico,2009,-0,GALICIA,,
Vivendas de uso turistico,2010,-0,GALICIA,,
Vivendas de uso turistico,2011,-0,GALICIA,,
Vivendas de uso turistico,2012,-0,GALICIA,,
Vivendas de uso turistico,2013,-0,GALICIA,,
Vivendas de uso turistico,2017,-0,GALICIA,,
Vivendas de uso turistico,2018,4630,GALICIA,,
Vivendas de uso turistico,2019,7643,GALICIA,,
Vivendas de uso turistico,2020,9872,GALICIA,,
Vivendas de uso turistico,2021,12070,GALICIA,,
Vivendas de uso turistico,2022,14068,GALICIA,,
Hoteis,2003,148,A CORUNA,,
Hoteis,2004,166,A CORUNA,,
Hoteis,2005,187,A CORUNA,,
Hoteis,2006,204,A CORUNA,,
Hoteis,2007,219,A CORUNA,,
Hoteis,2008,235,A CORUNA,,
Hoteis,2009,247,A CORUNA,,
Hoteis,2010,250,A CORUNA,,
Hoteis,2011,259,A CORUNA,,
Hoteis,2012,267,A CORUNA,,
Hoteis,2013,269,A CORUNA,,
Hoteis,2017,269,A CORUNA,,
Hoteis,2018,268,A CORUNA,,
Hoteis,2019,274,A CORUNA,,
Hoteis,2020,282,A CORUNA,,
Hoteis,2021,288,A CORUNA,,
Hoteis,2022,294,A CORUNA,,
Pensions,2003,..,A CORUNA,,
Pensions,2004,..,A CORUNA,,
Pensions,2005,..,A CORUNA,,
Pensions,2006,..,A CORUNA,,
Pensions,2007,..,A CORUNA,,
Pensions,2008,..,A CORUNA,,
Pensions,2009,463,A CORUNA,,
Pensions,2010,473,A CORUNA,,
Pensions,2011,502,A CORUNA,,
Pensions,2012,586,A CORUNA,,
Pensions,2013,558,A CORUNA,,
Pensions,2017,510,A CORUNA,,
Pensions,2018,520,A CORUNA,,
Pensions,2019,539,A CORUNA,,
Pensions,2020,562,A CORUNA,,
Pensions,2021,570,A CORUNA,,
Pensions,2022,576,A CORUNA,,
Albergues turisticos,2003,..,A CORUNA,,
Albergues turisticos,2004,..,A CORUNA,,
Albergues turisticos,2005,..,A CORUNA,,
Albergues turisticos,2006,..,A CORUNA,,
Albergues turisticos,2007,..,A CORUNA,,
Albergues turisticos,2008,..,A CORUNA,,
Albergues turisticos,2009,..,A CORUNA,,
Albergues turisticos,2010,..,A CORUNA,,
Albergues turisticos,2011,..,A CORUNA,,
Albergues turisticos,2012,48,A CORUNA,,
Albergues turisticos,2013,62,A CORUNA,,
Albergues turisticos,2017,142,A CORUNA,,
Albergues turisticos,2018,157,A CORUNA,,
Albergues turisticos,2019,172,A CORUNA,,
Albergues turisticos,2020,182,A CORUNA,,
Albergues turisticos,2021,187,A CORUNA,,
Albergues turisticos,2022,195,A CORUNA,,
Turismo rural,,,A CORUNA,,
,2003,114,A CORUNA,,
,2004,122,A CORUNA,,
,2005,124,A CORUNA,,
,2006,140,A CORUNA,,
,2007,147,A CORUNA,,
,2008,159,A CORUNA,,
,2009,169,A CORUNA,,
,2010,169,A CORUNA,,
,2011,171,A CORUNA,,
,2012,172,A CORUNA,,
,2013,173,A CORUNA,,
,2017,166,A CORUNA,,
,2018,166,A CORUNA,,
,2019,165,A CORUNA,,
,2020,166,A CORUNA,,
,2021,158,A CORUNA,,
,2022,155,A CORUNA,,
Campamentos de turismo,,,A CORUNA,,
,2003,48,A CORUNA,,
,2004,47,A CORUNA,,
,2005,47,A CORUNA,,
,2006,49,A CORUNA,,
,2007,50,A CORUNA,,
,2008,50,A CORUNA,,
,2009,50,A CORUNA,,
,2010,50,A CORUNA,,
,2011,50,A CORUNA,,
,2012,50,A CORUNA,,
,2013,50,A CORUNA,,
,2017,50,A CORUNA,,
,2018,50,A CORUNA,,
,2019,52,A CORUNA,,
,2020,55,A CORUNA,,
,2021,58,A CORUNA,,
,2022,60,A CORUNA,,
Apartamentos turísticos,,,A CORUNA,,
,2003,..,A CORUNA,,
,2004,..,A CORUNA,,
,2005,..,A CORUNA,,
,2006,21,A CORUNA,,
,2007,23,A CORUNA,,
,2008,25,A CORUNA,,
,2009,30,A CORUNA,,
,2010,36,A CORUNA,,
,2011,33,A CORUNA,,
,2012,45,A CORUNA,,
,2013,50,A CORUNA,,
,2017,79,A CORUNA,,
,2018,88,A CORUNA,,
,2019,94,A CORUNA,,
,2020,104,A CORUNA,,
,2021,115,A CORUNA,,
,2022,130,A CORUNA,,
Vivendas turísticas,,,A CORUNA,,
,2003,..,A CORUNA,,
,2004,..,A CORUNA,,
,2005,..,A CORUNA,,
,2006,..,A CORUNA,,
,2007,..,A CORUNA,,
,2008,..,A CORUNA,,
,2009,..,A CORUNA,,
,2010,..,A CORUNA,,
,2011,..,A CORUNA,,
,2012,..,A CORUNA,,
,2013,..,A CORUNA,,
,2017,102,A CORUNA,,
,2018,114,A CORUNA,,
,2019,111,A CORUNA,,
,2020,100,A CORUNA,,
,2021,100,A CORUNA,,
,2022,102,A CORUNA,,
Vivendas de uso turístico,,,A CORUNA,,
,2003,-0,A CORUNA,,
,2004,-0,A CORUNA,,
,2005,-0,A CORUNA,,
,2006,-0,A CORUNA,,
,2007,-0,A CORUNA,,
,2008,-0,A CORUNA,,
,2009,-0,A CORUNA,,
,2010,-0,A CORUNA,,
,2011,-0,A CORUNA,,
,2012,-0,A CORUNA,,
,2013,-0,A CORUNA,,
,2017,-0,A CORUNA,,
,2018,1578,A CORUNA,,
,2019,2811,A CORUNA,,
,2020,3714,A CORUNA,,
,2021,4345,A CORUNA,,
,2022,4941,A CORUNA,,
1501,Arzúa,,ARZUA ,1501,
Hoteis,,,ARZUA ,,
,2003,4,ARZUA ,,
,2004,4,ARZUA ,,
,2005,4,ARZUA ,,
,2006,4,ARZUA ,,
,2007,4,ARZUA ,,
,2008,4,ARZUA ,,
,2009,4,ARZUA ,,
,2010,5,ARZUA ,,
,2011,5,ARZUA ,,
,2012,5,ARZUA ,,
,2013,5,ARZUA ,,
,2017,6,ARZUA ,,
,2018,6,ARZUA ,,
,2019,6,ARZUA ,,
,2020,9,ARZUA ,,
,2021,10,ARZUA ,,
,2022,10,ARZUA ,,
Pensións,,,ARZUA ,,
,2003,..,ARZUA ,,
,2004,..,ARZUA ,,
,2005,..,ARZUA ,,
,2006,..,ARZUA ,,
,2007,..,ARZUA ,,
,2008,..,ARZUA ,,
,2009,30,ARZUA ,,
,2010,32,ARZUA ,,
,2011,39,ARZUA ,,
,2012,49,ARZUA ,,
,2013,32,ARZUA ,,
,2017,41,ARZUA ,,
,2018,46,ARZUA ,,
,2019,55,ARZUA ,,
,2020,64,ARZUA ,,
,2021,68,ARZUA ,,
,2022,71,ARZUA ,,
Albergues turísticos,,,ARZUA ,,
,2003,..,ARZUA ,,
,2004,..,ARZUA ,,
,2005,..,ARZUA ,,
,2006,..,ARZUA ,,
,2007,..,ARZUA ,,
,2008,..,ARZUA ,,
,2009,..,ARZUA ,,
,2010,..,ARZUA ,,
,2011,..,ARZUA ,,
,2012,17,ARZUA ,,
,2013,19,ARZUA ,,
,2017,36,ARZUA ,,
,2018,39,ARZUA ,,
,2019,41,ARZUA ,,
,2020,45,ARZUA ,,
,2021,47,ARZUA ,,
,2022,48,ARZUA ,,
Turismo rural,,,ARZUA ,,
,2003,16,ARZUA ,,
,2004,20,ARZUA ,,
,2005,19,ARZUA ,,
,2006,21,ARZUA ,,
,2007,21,ARZUA ,,
,2008,23,ARZUA ,,
,2009,25,ARZUA ,,
,2010,25,ARZUA ,,
,2011,25,ARZUA ,,
,2012,26,ARZUA ,,
,2013,26,ARZUA ,,
,2017,28,ARZUA ,,
,2018,29,ARZUA ,,
,2019,29,ARZUA ,,
,2020,29,ARZUA ,,
,2021,27,ARZUA ,,
,2022,27,ARZUA ,,
Campamentos de turismo,,,ARZUA ,,
,2003,0,ARZUA ,,
,2004,0,ARZUA ,,
,2005,0,ARZUA ,,
,2006,0,ARZUA ,,
,2007,0,ARZUA ,,
,2008,0,ARZUA ,,
,2009,0,ARZUA ,,
,2010,0,ARZUA ,,
,2011,0,ARZUA ,,
,2012,0,ARZUA ,,
,2013,0,ARZUA ,,
,2017,0,ARZUA ,,
,2018,0,ARZUA ,,
,2019,1,ARZUA ,,
,2020,2,ARZUA ,,
,2021,3,ARZUA ,,
,2022,3,ARZUA ,,
Apartamentos turísticos,,,ARZUA ,,
,2003,0,ARZUA ,,
,2004,0,ARZUA ,,
,2005,0,ARZUA ,,
,2006,1,ARZUA ,,
,2007,1,ARZUA ,,
,2008,2,ARZUA ,,
,2009,3,ARZUA ,,
,2010,3,ARZUA ,,
,2011,3,ARZUA ,,
,2012,3,ARZUA ,,
,2013,3,ARZUA ,,
,2017,4,ARZUA ,,
,2018,4,ARZUA ,,
,2019,4,ARZUA ,,
,2020,6,ARZUA ,,
,2021,7,ARZUA ,,
,2022,8,ARZUA ,,
Vivendas turísticas,,,ARZUA ,,
,2003,..,ARZUA ,,
,2004,..,ARZUA ,,
,2005,..,ARZUA ,,
,2006,..,ARZUA ,,
,2007,..,ARZUA ,,
,2008,..,ARZUA ,,
,2009,..,ARZUA ,,
,2010,..,ARZUA ,,
,2011,..,ARZUA ,,
,2012,..,ARZUA ,,
,2013,..,ARZUA ,,
,2017,3,ARZUA ,,
,2018,5,ARZUA ,,
,2019,5,ARZUA ,,
,2020,5,ARZUA ,,
,2021,5,ARZUA ,,
,2022,5,ARZUA ,,
Vivendas de uso turístico,,,ARZUA ,,
,2003,-0,ARZUA ,,
,2004,-0,ARZUA ,,
,2005,-0,ARZUA ,,
,2006,-0,ARZUA ,,
,2007,-0,ARZUA ,,
,2008,-0,ARZUA ,,
,2009,-0,ARZUA ,,
,2010,-0,ARZUA ,,
,2011,-0,ARZUA ,,
,2012,-0,ARZUA ,,
,2013,-0,ARZUA ,,
,2017,-0,ARZUA ,,
,2018,33,ARZUA ,,
,2019,65,ARZUA ,,
,2020,94,ARZUA ,,
,2021,106,ARZUA ,,
,2022,109,ARZUA ,,
15006,Arzúa,,AARZUA,15006,
Hoteis,,,AARZUA,,
,2003,2,AARZUA,,
,2004,2,AARZUA,,
,2005,2,AARZUA,,
,2006,2,AARZUA,,
,2007,2,AARZUA,,
,2008,2,AARZUA,,
,2009,2,AARZUA,,
,2010,2,AARZUA,,
,2011,2,AARZUA,,
,2012,2,AARZUA,,
,2013,2,AARZUA,,
,2017,2,AARZUA,,
,2018,2,AARZUA,,
,2019,2,AARZUA,,
,2020,4,AARZUA,,
,2021,5,AARZUA,,
,2022,5,AARZUA,,
Pensións,,,AARZUA,,
,2003,..,AARZUA,,
,2004,..,AARZUA,,
,2005,..,AARZUA,,
,2006,..,AARZUA,,
,2007,..,AARZUA,,
,2008,..,AARZUA,,
,2009,17,AARZUA,,
,2010,19,AARZUA,,
,2011,22,AARZUA,,
,2012,26,AARZUA,,
,2013,13,AARZUA,,
,2017,16,AARZUA,,
,2018,17,AARZUA,,
,2019,17,AARZUA,,
,2020,19,AARZUA,,
,2021,20,AARZUA,,
,2022,20,AARZUA,,
Albergues turísticos,,,AARZUA,,
,2003,..,AARZUA,,
,2004,..,AARZUA,,
,2005,..,AARZUA,,
,2006,..,AARZUA,,
,2007,..,AARZUA,,
,2008,..,AARZUA,,
,2009,..,AARZUA,,
,2010,..,AARZUA,,
,2011,..,AARZUA,,
,2012,13,AARZUA,,
,2013,12,AARZUA,,
,2017,19,AARZUA,,
,2018,21,AARZUA,,
,2019,22,AARZUA,,
,2020,24,AARZUA,,
,2021,25,AARZUA,,
,2022,26,AARZUA,,
Turismo rural,,,AARZUA,,
,2003,12,AARZUA,,
,2004,12,AARZUA,,
,2005,11,AARZUA,,
,2006,13,AARZUA,,
,2007,13,AARZUA,,
,2008,15,AARZUA,,
,2009,16,AARZUA,,
,2010,16,AARZUA,,
,2011,16,AARZUA,,
,2012,17,AARZUA,,
,2013,16,AARZUA,,
,2017,17,AARZUA,,
,2018,18,AARZUA,,
,2019,18,AARZUA,,
,2020,18,AARZUA,,
,2021,17,AARZUA,,
,2022,17,AARZUA,,
Campamentos de turismo,,,AARZUA,,
,2003,0,AARZUA,,
,2004,0,AARZUA,,
,2005,0,AARZUA,,
,2006,0,AARZUA,,
,2007,0,AARZUA,,
,2008,0,AARZUA,,
,2009,0,AARZUA,,
,2010,0,AARZUA,,
,2011,0,AARZUA,,
,2012,0,AARZUA,,
,2013,0,AARZUA,,
,2017,0,AARZUA,,
,2018,0,AARZUA,,
,2019,0,AARZUA,,
,2020,0,AARZUA,,
,2021,1,AARZUA,,
,2022,1,AARZUA,,
Apartamentos turísticos,,,AARZUA,,
,2003,0,AARZUA,,
,2004,0,AARZUA,,
,2005,0,AARZUA,,
,2006,0,AARZUA,,
,2007,0,AARZUA,,
,2008,1,AARZUA,,
,2009,1,AARZUA,,
,2010,1,AARZUA,,
,2011,1,AARZUA,,
,2012,1,AARZUA,,
,2013,1,AARZUA,,
,2017,2,AARZUA,,
,2018,2,AARZUA,,
,2019,2,AARZUA,,
,2020,3,AARZUA,,
,2021,3,AARZUA,,
,2022,3,AARZUA,,
Vivendas turísticas,,,AARZUA,,
,2003,..,AARZUA,,
,2004,..,AARZUA,,
,2005,..,AARZUA,,
,2006,..,AARZUA,,
,2007,..,AARZUA,,
,2008,..,AARZUA,,
,2009,..,AARZUA,,
,2010,..,AARZUA,,
,2011,..,AARZUA,,
,2012,..,AARZUA,,
,2013,..,AARZUA,,
,2017,3,AARZUA,,
,2018,3,AARZUA,,
,2019,3,AARZUA,,
,2020,3,AARZUA,,
,2021,3,AARZUA,,
,2022,3,AARZUA,,
Vivendas de uso turístico,,,AARZUA,,
,2003,-0,AARZUA,,
,2004,-0,AARZUA,,
,2005,-0,AARZUA,,
,2006,-0,AARZUA,,
,2007,-0,AARZUA,,
,2008,-0,AARZUA,,
,2009,-0,AARZUA,,
,2010,-0,AARZUA,,
,2011,-0,AARZUA,,
,2012,-0,AARZUA,,
,2013,-0,AARZUA,,
,2017,-0,AARZUA,,
,2018,16,AARZUA,,
,2019,34,AARZUA,,
,2020,54,AARZUA,,
,2021,64,AARZUA,,
,2022,66,AARZUA,,
15010,Boimorto,,BOIMORTO,15010,
Hoteis,,,BOIMORTO,,
,2003,0,BOIMORTO,,
,2004,0,BOIMORTO,,
,2005,0,BOIMORTO,,
,2006,0,BOIMORTO,,
,2007,0,BOIMORTO,,
,2008,0,BOIMORTO,,
,2009,0,BOIMORTO,,
,2010,0,BOIMORTO,,
,2011,0,BOIMORTO,,
,2012,0,BOIMORTO,,
,2013,0,BOIMORTO,,
,2017,0,BOIMORTO,,
,2018,0,BOIMORTO,,
,2019,0,BOIMORTO,,
,2020,0,BOIMORTO,,
,2021,0,BOIMORTO,,
,2022,0,BOIMORTO,,
Pensións,,,BOIMORTO,,
,2003,..,BOIMORTO,,
,2004,..,BOIMORTO,,
,2005,..,BOIMORTO,,
,2006,..,BOIMORTO,,
,2007,..,BOIMORTO,,
,2008,..,BOIMORTO,,
,2009,0,BOIMORTO,,
,2010,0,BOIMORTO,,
,2011,0,BOIMORTO,,
,2012,0,BOIMORTO,,
,2013,0,BOIMORTO,,
,2017,0,BOIMORTO,,
,2018,0,BOIMORTO,,
,2019,1,BOIMORTO,,
,2020,1,BOIMORTO,,
,2021,1,BOIMORTO,,
,2022,1,BOIMORTO,,
Albergues turísticos,,,BOIMORTO,,
,2003,..,BOIMORTO,,
,2004,..,BOIMORTO,,
,2005,..,BOIMORTO,,
,2006,..,BOIMORTO,,
,2007,..,BOIMORTO,,
,2008,..,BOIMORTO,,
,2009,..,BOIMORTO,,
,2010,..,BOIMORTO,,
,2011,..,BOIMORTO,,
,2012,0,BOIMORTO,,
,2013,0,BOIMORTO,,
,2017,1,BOIMORTO,,
,2018,2,BOIMORTO,,
,2019,2,BOIMORTO,,
,2020,2,BOIMORTO,,
,2021,2,BOIMORTO,,
,2022,2,BOIMORTO,,
Turismo rural,,,BOIMORTO,,
,2003,1,BOIMORTO,,
,2004,2,BOIMORTO,,
,2005,2,BOIMORTO,,
,2006,2,BOIMORTO,,
,2007,2,BOIMORTO,,
,2008,2,BOIMORTO,,
,2009,2,BOIMORTO,,
,2010,2,BOIMORTO,,
,2011,2,BOIMORTO,,
,2012,2,BOIMORTO,,
,2013,3,BOIMORTO,,
,2017,4,BOIMORTO,,
,2018,4,BOIMORTO,,
,2019,4,BOIMORTO,,
,2020,4,BOIMORTO,,
,2021,3,BOIMORTO,,
,2022,3,BOIMORTO,,
Campamentos de turismo,,,BOIMORTO,,
,2003,0,BOIMORTO,,
,2004,0,BOIMORTO,,
,2005,0,BOIMORTO,,
,2006,0,BOIMORTO,,
,2007,0,BOIMORTO,,
,2008,0,BOIMORTO,,
,2009,0,BOIMORTO,,
,2010,0,BOIMORTO,,
,2011,0,BOIMORTO,,
,2012,0,BOIMORTO,,
,2013,0,BOIMORTO,,
,2017,0,BOIMORTO,,
,2018,0,BOIMORTO,,
,2019,0,BOIMORTO,,
,2020,0,BOIMORTO,,
,2021,0,BOIMORTO,,
,2022,0,BOIMORTO,,
Apartamentos turísticos,,,BOIMORTO,,
,2003,0,BOIMORTO,,
,2004,0,BOIMORTO,,
,2005,0,BOIMORTO,,
,2006,0,BOIMORTO,,
,2007,0,BOIMORTO,,
,2008,0,BOIMORTO,,
,2009,0,BOIMORTO,,
,2010,0,BOIMORTO,,
,2011,0,BOIMORTO,,
,2012,0,BOIMORTO,,
,2013,0,BOIMORTO,,
,2017,0,BOIMORTO,,
,2018,0,BOIMORTO,,
,2019,0,BOIMORTO,,
,2020,0,BOIMORTO,,
,2021,1,BOIMORTO,,
,2022,2,BOIMORTO,,
Vivendas turísticas,,,BOIMORTO,,
,2003,..,BOIMORTO,,
,2004,..,BOIMORTO,,
,2005,..,BOIMORTO,,
,2006,..,BOIMORTO,,
,2007,..,BOIMORTO,,
,2008,..,BOIMORTO,,
,2009,..,BOIMORTO,,
,2010,..,BOIMORTO,,
,2011,..,BOIMORTO,,
,2012,..,BOIMORTO,,
,2013,..,BOIMORTO,,
,2017,0,BOIMORTO,,
,2018,0,BOIMORTO,,
,2019,0,BOIMORTO,,
,2020,0,BOIMORTO,,
,2021,0,BOIMORTO,,
,2022,0,BOIMORTO,,
Vivendas de uso turístico,,,BOIMORTO,,
,2003,-0,BOIMORTO,,
,2004,-0,BOIMORTO,,
,2005,-0,BOIMORTO,,
,2006,-0,BOIMORTO,,
,2007,-0,BOIMORTO,,
,2008,-0,BOIMORTO,,
,2009,-0,BOIMORTO,,
,2010,-0,BOIMORTO,,
,2011,-0,BOIMORTO,,
,2012,-0,BOIMORTO,,
,2013,-0,BOIMORTO,,
,2017,-0,BOIMORTO,,
,2018,2,BOIMORTO,,
,2019,3,BOIMORTO,,
,2020,3,BOIMORTO,,
,2021,5,BOIMORTO,,
,2022,4,BOIMORTO,,
15066,"Pino, O",,O PINO,15066,
Hoteis,,,O PINO,,
,2003,2,O PINO,,
,2004,2,O PINO,,
,2005,2,O PINO,,
,2006,2,O PINO,,
,2007,2,O PINO,,
,2008,2,O PINO,,
,2009,2,O PINO,,
,2010,3,O PINO,,
,2011,3,O PINO,,
,2012,3,O PINO,,
,2013,3,O PINO,,
,2017,4,O PINO,,
,2018,4,O PINO,,
,2019,4,O PINO,,
,2020,5,O PINO,,
,2021,5,O PINO,,
,2022,5,O PINO,,
Pensións,,,O PINO,,
,2003,..,O PINO,,
,2004,..,O PINO,,
,2005,..,O PINO,,
,2006,..,O PINO,,
,2007,..,O PINO,,
,2008,..,O PINO,,
,2009,13,O PINO,,
,2010,13,O PINO,,
,2011,17,O PINO,,
,2012,23,O PINO,,
,2013,19,O PINO,,
,2017,25,O PINO,,
,2018,29,O PINO,,
,2019,37,O PINO,,
,2020,44,O PINO,,
,2021,47,O PINO,,
,2022,50,O PINO,,
Albergues turísticos,,,O PINO,,
,2003,..,O PINO,,
,2004,..,O PINO,,
,2005,..,O PINO,,
,2006,..,O PINO,,
,2007,..,O PINO,,
,2008,..,O PINO,,
,2009,..,O PINO,,
,2010,..,O PINO,,
,2011,..,O PINO,,
,2012,4,O PINO,,
,2013,7,O PINO,,
,2017,16,O PINO,,
,2018,16,O PINO,,
,2019,17,O PINO,,
,2020,19,O PINO,,
,2021,20,O PINO,,
,2022,20,O PINO,,
Turismo rural,,,O PINO,,
,2003,3,O PINO,,
,2004,3,O PINO,,
,2005,3,O PINO,,
,2006,3,O PINO,,
,2007,3,O PINO,,
,2008,3,O PINO,,
,2009,4,O PINO,,
,2010,4,O PINO,,
,2011,4,O PINO,,
,2012,4,O PINO,,
,2013,4,O PINO,,
,2017,4,O PINO,,
,2018,4,O PINO,,
,2019,4,O PINO,,
,2020,4,O PINO,,
,2021,4,O PINO,,
,2022,4,O PINO,,
Campamentos de turismo,,,O PINO,,
,2003,0,O PINO,,
,2004,0,O PINO,,
,2005,0,O PINO,,
,2006,0,O PINO,,
,2007,0,O PINO,,
,2008,0,O PINO,,
,2009,0,O PINO,,
,2010,0,O PINO,,
,2011,0,O PINO,,
,2012,0,O PINO,,
,2013,0,O PINO,,
,2017,0,O PINO,,
,2018,0,O PINO,,
,2019,1,O PINO,,
,2020,1,O PINO,,
,2021,1,O PINO,,
,2022,1,O PINO,,
Apartamentos turísticos,,,O PINO,,
,2003,0,O PINO,,
,2004,0,O PINO,,
,2005,0,O PINO,,
,2006,1,O PINO,,
,2007,1,O PINO,,
,2008,1,O PINO,,
,2009,1,O PINO,,
,2010,1,O PINO,,
,2011,1,O PINO,,
,2012,1,O PINO,,
,2013,1,O PINO,,
,2017,1,O PINO,,
,2018,1,O PINO,,
,2019,1,O PINO,,
,2020,2,O PINO,,
,2021,2,O PINO,,
,2022,2,O PINO,,
Vivendas turísticas,,,O PINO,,
,2003,..,O PINO,,
,2004,..,O PINO,,
,2005,..,O PINO,,
,2006,..,O PINO,,
,2007,..,O PINO,,
,2008,..,O PINO,,
,2009,..,O PINO,,
,2010,..,O PINO,,
,2011,..,O PINO,,
,2012,..,O PINO,,
,2013,..,O PINO,,
,2017,0,O PINO,,
,2018,2,O PINO,,
,2019,2,O PINO,,
,2020,2,O PINO,,
,2021,2,O PINO,,
,2022,2,O PINO,,
Vivendas de uso turístico,,,O PINO,,
,2003,-0,O PINO,,
,2004,-0,O PINO,,
,2005,-0,O PINO,,
,2006,-0,O PINO,,
,2007,-0,O PINO,,
,2008,-0,O PINO,,
